fila,etiqueta_real
183,BENIGN
184,BENIGN
185,PortScan
186,DDoS
187,DDoS
188,BENIGN
189,Bot
190,BENIGN
191,BENIGN
192,BENIGN
193,DDoS
194,PortScan
195,BENIGN
196,Infiltration
197,BENIGN
198,BENIGN
199,BENIGN
200,BENIGN
201,BENIGN
202,DoS Hulk
203,BENIGN
204,BENIGN
205,BENIGN
206,BENIGN
207,BENIGN
208,BENIGN
209,DDoS
210,PortScan
211,DoS Hulk
212,BENIGN
213,BENIGN
214,PortScan
215,DoS Slowhttptest
216,BENIGN
217,BENIGN
218,BENIGN
219,SSH-Patator
220,BENIGN
221,BENIGN
222,DoS Hulk
223,BENIGN
224,BENIGN
225,Bot
226,DoS slowloris
227,BENIGN
228,FTP-Patator
229,PortScan
230,PortScan
231,BENIGN
232,BENIGN
233,BENIGN
234,PortScan
235,BENIGN
236,DoS GoldenEye
237,BENIGN
238,FTP-Patator
239,BENIGN
240,BENIGN
241,BENIGN
242,Web Attack - XSS
243,BENIGN
244,Bot
245,DoS GoldenEye
246,DDoS
247,BENIGN
248,BENIGN
249,Web Attack - Brute Force
250,BENIGN
251,BENIGN
252,BENIGN
253,BENIGN
254,BENIGN
255,FTP-Patator
256,PortScan
257,BENIGN
258,DoS Hulk
259,BENIGN
260,BENIGN
261,DDoS
262,BENIGN
263,BENIGN
264,BENIGN
265,BENIGN
266,BENIGN
267,DDoS
268,BENIGN
269,BENIGN
270,BENIGN
271,BENIGN
272,DoS Hulk
273,BENIGN
274,DoS GoldenEye
275,BENIGN
276,PortScan
277,DoS Hulk
278,BENIGN
279,DoS Hulk
280,BENIGN
281,FTP-Patator
282,BENIGN
283,BENIGN
284,FTP-Patator
285,PortScan
286,PortScan
287,PortScan
288,BENIGN
289,DDoS
290,Bot
291,DDoS
292,DoS slowloris
293,BENIGN
294,BENIGN
295,SSH-Patator
296,DoS Hulk
297,DoS Hulk
298,Web Attack - Brute Force
299,DDoS
300,BENIGN
301,DoS Hulk
302,BENIGN
303,BENIGN
304,BENIGN
305,BENIGN
306,BENIGN
307,BENIGN
308,BENIGN
309,Infiltration
310,BENIGN
311,DoS GoldenEye
312,DoS Hulk
313,BENIGN
314,BENIGN
315,DoS GoldenEye
316,BENIGN
317,DDoS
318,DoS Hulk
319,BENIGN
320,DDoS
321,BENIGN
322,Bot
323,BENIGN
324,BENIGN
325,BENIGN
326,BENIGN
327,BENIGN
328,PortScan
329,BENIGN
330,BENIGN
331,BENIGN
332,BENIGN
333,BENIGN
334,BENIGN
335,PortScan
336,DDoS
337,BENIGN
338,BENIGN
339,BENIGN
340,BENIGN
341,PortScan
342,PortScan
343,BENIGN
344,BENIGN
345,DoS slowloris
346,PortScan
347,BENIGN
348,BENIGN
349,BENIGN
350,DoS GoldenEye
351,BENIGN
352,BENIGN
353,SSH-Patator
354,BENIGN
355,BENIGN
356,DoS slowloris
357,BENIGN
358,BENIGN
359,BENIGN
360,BENIGN
361,BENIGN
362,BENIGN
363,BENIGN
364,BENIGN
365,BENIGN
366,DoS Hulk
367,BENIGN
368,SSH-Patator
369,BENIGN
370,PortScan
371,BENIGN
372,BENIGN
373,BENIGN
374,BENIGN
375,FTP-Patator
376,BENIGN
377,BENIGN
378,BENIGN
379,BENIGN
380,Web Attack - Brute Force
381,BENIGN
382,DoS Hulk
383,Bot
384,BENIGN
385,DoS Hulk
386,BENIGN
387,BENIGN
388,BENIGN
389,PortScan
390,Web Attack - Brute Force
391,DoS GoldenEye
392,BENIGN
393,BENIGN
394,DoS slowloris
395,DoS slowloris
396,DoS Hulk
397,BENIGN
398,BENIGN
399,BENIGN
400,BENIGN
401,Bot
402,BENIGN
403,Web Attack - XSS
404,Bot
405,DoS Hulk
406,DDoS
407,BENIGN
408,BENIGN
409,BENIGN
410,BENIGN
411,BENIGN
412,DoS GoldenEye
413,BENIGN
414,DoS Hulk
415,BENIGN
416,BENIGN
417,BENIGN
418,PortScan
419,BENIGN
420,DoS Slowhttptest
421,Web Attack - Brute Force
422,BENIGN
423,FTP-Patator
424,BENIGN
425,BENIGN
426,BENIGN
427,BENIGN
428,DoS slowloris
429,DDoS
430,BENIGN
431,DoS Hulk
432,Bot
433,BENIGN
434,DDoS
435,BENIGN
436,BENIGN
437,BENIGN
438,DoS Hulk
439,BENIGN
440,PortScan
441,BENIGN
442,BENIGN
443,DoS Hulk
444,Web Attack - XSS
445,BENIGN
446,DoS Hulk
447,Web Attack - Brute Force
448,DoS Hulk
449,BENIGN
450,BENIGN
451,DDoS
452,BENIGN
453,Bot
454,BENIGN
455,SSH-Patator
456,BENIGN
457,Infiltration
458,BENIGN
459,BENIGN
460,BENIGN
461,BENIGN
462,DDoS
463,BENIGN
464,BENIGN
465,BENIGN
466,DoS Hulk
467,Bot
468,BENIGN
469,BENIGN
470,DoS Slowhttptest
471,BENIGN
472,PortScan
473,BENIGN
474,DoS GoldenEye
475,DDoS
476,BENIGN
477,DoS Hulk
478,BENIGN
479,BENIGN
480,BENIGN
481,DDoS
482,BENIGN
483,PortScan
484,BENIGN
485,Bot
486,DoS Hulk
487,BENIGN
488,Bot
489,BENIGN
490,Heartbleed
491,BENIGN
492,BENIGN
493,BENIGN
494,BENIGN
495,BENIGN
496,DDoS
497,DoS Slowhttptest
498,BENIGN
